ZCR,z:0.000-0.065,z:0.065-0.090,z:0.090-0.100,z:0.100-0.115,z:0.115-0.130,z:0.130-0.140,z:0.140-0.165,z:0.165-100.000,z:bimodal,z:std,z:var
mu1.wav,0.06626506024096386,0.06626506024096386,0.006024096385542169,0.012048192771084338,0.03614457831325301,0.006024096385542169,0.060240963855421686,0.7469879518072289,0.11589916810702697,0.10427698729719122,0.010873690079778578
mu2.wav,0.3493975903614458,0.1686746987951807,0.07228915662650602,0.10843373493975904,0.0783132530120482,0.05421686746987952,0.060240963855421686,0.10843373493975904,0.11563451956077833,0.059769328582641855,0.0035723726392198085
mu3.wav,0.1927710843373494,0.3855421686746988,0.05421686746987952,0.10240963855421686,0.10843373493975904,0.05421686746987952,0.060240963855421686,0.04216867469879518,0.07120100214910705,0.03445169206397508,0.0011869190860709635
mu4.wav,0.06626506024096386,0.1566265060240964,0.13855421686746988,0.18674698795180722,0.1566265060240964,0.060240963855421686,0.18674698795180722,0.04819277108433735,0.053239194485902475,0.03039606073293251,0.0009239205080801217
mu5.wav,0.1746987951807229,0.2469879518072289,0.1566265060240964,0.14457831325301204,0.0783132530120482,0.04216867469879518,0.07228915662650602,0.08433734939759036,0.08963349154229826,0.0411973989563612,0.001697225680769591
mu6.wav,0.6927710843373494,0.1566265060240964,0.024096385542168676,0.03614457831325301,0.030120481927710843,0.018072289156626505,0.024096385542168676,0.018072289156626505,0.06630604074552239,0.037058497827998624,0.0013733322612677786
mu7.wav,0.006024096385542169,0.030120481927710843,0.03614457831325301,0.2469879518072289,0.21084337349397592,0.25903614457831325,0.13855421686746988,0.07228915662650602,0.020929759600477764,0.025750813112319772,0.00066310437594562
mu8.wav,0.006024096385542169,0.006024096385542169,0.012048192771084338,0.04819277108433735,0.060240963855421686,0.030120481927710843,0.13855421686746988,0.6987951807228916,0.04319258053293964,0.06051675483739574,0.003662277616049461
mu9.wav,0.29518072289156627,0.25903614457831325,0.06626506024096386,0.13855421686746988,0.10843373493975904,0.030120481927710843,0.06626506024096386,0.03614457831325301,0.0746503417510616,0.03560803262994232,0.001267931987775037
mu10.wav,0.05421686746987952,0.006024096385542169,0.012048192771084338,0.20481927710843373,0.3192771084337349,0.1144578313253012,0.24096385542168675,0.04819277108433735,0.0491966381261783,0.03376917171990025,0.0011403569586481107
mu11.wav,0.6867469879518072,0.21084337349397592,0.018072289156626505,0.018072289156626505,0.006024096385542169,0.006024096385542169,0.006024096385542169,0.04819277108433735,0.10143335510454517,0.046006828278728984,0.0021166282482684567
mu12.wav,0.0,0.012048192771084338,0.018072289156626505,0.024096385542168676,0.03614457831325301,0.018072289156626505,0.12650602409638553,0.7650602409638554,0.03767465457638845,0.08641637865047365,0.007467790499062038
mu13.wav,0.4457831325301205,0.28313253012048195,0.12048192771084337,0.12650602409638553,0.012048192771084338,0.006024096385542169,0.006024096385542169,0.0,0.03298465751487514,0.029720123769705484,0.000883285756886613
mu14.wav,0.8554216867469879,0.0963855421686747,0.030120481927710843,0.018072289156626505,0.0,0.0,0.0,0.0,0.03864419859051246,0.023972144250926974,0.0005746636999872512
mu15.wav,0.1686746987951807,0.1144578313253012,0.06626506024096386,0.21084337349397592,0.14457831325301204,0.05421686746987952,0.15060240963855423,0.09036144578313253,0.09080928121765904,0.03919259419681189,0.0015360594398759733
mu16.wav,0.04216867469879518,0.12048192771084337,0.04819277108433735,0.0783132530120482,0.08433734939759036,0.060240963855421686,0.25301204819277107,0.3132530120481928,0.08077304238416072,0.038791910725769645,0.0015048123377560821
mu17.wav,0.0963855421686747,0.3132530120481928,0.10843373493975904,0.20481927710843373,0.1927710843373494,0.06626506024096386,0.018072289156626505,0.0,0.019726735815067238,0.024292193140985643,0.00059011064759895
mu18.wav,0.10240963855421686,0.18072289156626506,0.09036144578313253,0.1144578313253012,0.0963855421686747,0.04216867469879518,0.13253012048192772,0.24096385542168675,0.10387328115309166,0.07031714899310719,0.0049445014425188345
mu19.wav,0.012048192771084338,0.04819277108433735,0.06626506024096386,0.0963855421686747,0.0783132530120482,0.060240963855421686,0.16265060240963855,0.4759036144578313,0.050513641379208656,0.059630383621187666,0.003555782650810006
mu20.wav,0.1927710843373494,0.14457831325301204,0.04819277108433735,0.1144578313253012,0.09036144578313253,0.07228915662650602,0.1144578313253012,0.22289156626506024,0.12203130887999807,0.06026855107281701,0.003632298248416753
sp1.wav,0.3433734939759036,0.1144578313253012,0.060240963855421686,0.05421686746987952,0.03614457831325301,0.018072289156626505,0.04819277108433735,0.3253012048192771,0.15389329320138612,0.14778474617902482,0.021840331203198792
sp2.wav,0.3313253012048193,0.2710843373493976,0.08433734939759036,0.05421686746987952,0.04216867469879518,0.012048192771084338,0.024096385542168676,0.18072289156626506,0.13205210350588847,0.12153820655725794,0.014771535653154698
sp3.wav,0.21084337349397592,0.13253012048192772,0.14457831325301204,0.12650602409638553,0.07228915662650602,0.03614457831325301,0.0783132530120482,0.19879518072289157,0.1212839577055505,0.09361836746767725,0.00876439872731305
sp4.wav,0.5180722891566265,0.06626506024096386,0.006024096385542169,0.05421686746987952,0.012048192771084338,0.006024096385542169,0.024096385542168676,0.3132530120481928,0.1668136984086143,0.15235684074588313,0.023212606922066392
sp5.wav,0.35542168674698793,0.09036144578313253,0.04819277108433735,0.04216867469879518,0.030120481927710843,0.012048192771084338,0.06626506024096386,0.35542168674698793,0.1582502168518139,0.18276591993875416,0.03340338149105909
sp6.wav,0.6566265060240963,0.3072289156626506,0.024096385542168676,0.012048192771084338,0.0,0.0,0.0,0.0,0.03634737535491198,0.017006046932168953,0.0002892056322591331
sp7.wav,0.4939759036144578,0.19879518072289157,0.0783132530120482,0.07228915662650602,0.060240963855421686,0.024096385542168676,0.030120481927710843,0.04216867469879518,0.08976242828660887,0.043999904346434596,0.0019359915824953941
sp8.wav,0.6566265060240963,0.21084337349397592,0.006024096385542169,0.012048192771084338,0.0,0.006024096385542169,0.024096385542168676,0.08433734939759036,0.12246558171155877,0.06825450244715199,0.004658677104308277
sp9.wav,0.6024096385542169,0.10843373493975904,0.006024096385542169,0.024096385542168676,0.018072289156626505,0.006024096385542169,0.024096385542168676,0.21084337349397592,0.15638612423639092,0.11328234449594761,0.012832889574498551
sp10.wav,0.4759036144578313,0.04216867469879518,0.012048192771084338,0.030120481927710843,0.03614457831325301,0.030120481927710843,0.024096385542168676,0.3493975903614458,0.16799803893226672,0.13656629409066368,0.01865035268165764
sp11.wav,0.40963855421686746,0.12048192771084337,0.060240963855421686,0.05421686746987952,0.018072289156626505,0.024096385542168676,0.030120481927710843,0.28313253012048195,0.15496836821232524,0.12401539424264851,0.01537981800915954
sp12.wav,0.20481927710843373,0.16265060240963855,0.060240963855421686,0.04216867469879518,0.10240963855421686,0.006024096385542169,0.030120481927710843,0.39156626506024095,0.1416873973748602,0.1342180347760115,0.01801448085913463
sp13.wav,0.608433734939759,0.06626506024096386,0.012048192771084338,0.030120481927710843,0.04216867469879518,0.012048192771084338,0.024096385542168676,0.20481927710843373,0.1555537812951773,0.09353221132879673,0.00874827455605469
sp14.wav,0.25301204819277107,0.12650602409638553,0.05421686746987952,0.10843373493975904,0.1144578313253012,0.04216867469879518,0.04216867469879518,0.25903614457831325,0.13570636092105123,0.08780804195334685,0.007710252231680721
sp15.wav,0.26506024096385544,0.12048192771084337,0.0963855421686747,0.08433734939759036,0.03614457831325301,0.04216867469879518,0.0783132530120482,0.27710843373493976,0.13950113982012527,0.10935043754507427,0.01195751819129919
sp16.wav,0.05421686746987952,0.09036144578313253,0.05421686746987952,0.04216867469879518,0.05421686746987952,0.012048192771084338,0.10240963855421686,0.5903614457831325,0.10277762266437893,0.10478685372796537,0.010980284714206008
sp17.wav,0.012048192771084338,0.04216867469879518,0.012048192771084338,0.04216867469879518,0.04819277108433735,0.06626506024096386,0.09036144578313253,0.6867469879518072,0.05493841948643776,0.07446279519498358,0.005544707868250071
sp18.wav,0.7530120481927711,0.13253012048192772,0.012048192771084338,0.030120481927710843,0.006024096385542169,0.006024096385542169,0.012048192771084338,0.04819277108433735,0.1033406491177458,0.05428885442428792,0.002947279714701526
sp19.wav,0.40963855421686746,0.1927710843373494,0.04216867469879518,0.03614457831325301,0.030120481927710843,0.04216867469879518,0.030120481927710843,0.21686746987951808,0.14519961867505596,0.11130662596526093,0.012389164983770498
sp20.wav,0.572289156626506,0.16265060240963855,0.04216867469879518,0.012048192771084338,0.04216867469879518,0.03614457831325301,0.030120481927710843,0.10240963855421686,0.12658085526716936,0.05736041058923915,0.0032902167029660993
