Chroma,c:0,c:1,c:2,c:3,c:4,c:5,c:6,c:7,c:8,c:9,c:10,c:11,c:tonemax,c:tonemax2,c:tonemax3,c:tonemax4
mu1.wav,0.023809523809523808,0.03968253968253968,0.0,0.0,0.015873015873015872,0.015873015873015872,0.007936507936507936,0.015873015873015872,0.023809523809523808,0.5555555555555556,0.1746031746031746,0.12698412698412698,0.5555555555555556,0.7301587301587302,0.8571428571428572,0.8968253968253969
mu2.wav,0.328,0.008,0.104,0.032,0.2,0.12,0.072,0.032,0.0,0.0,0.096,0.008,0.328,0.528,0.648,0.752
mu3.wav,0.0,0.816,0.0,0.08,0.0,0.048,0.008,0.0,0.0,0.0,0.048,0.0,0.816,0.8959999999999999,0.944,0.992
mu4.wav,0.0,0.224,0.0,0.0,0.0,0.016,0.552,0.0,0.16,0.0,0.048,0.0,0.552,0.776,0.936,0.9840000000000001
mu5.wav,0.0,0.0,0.0,0.0,0.031746031746031744,0.007936507936507936,0.0,0.0,0.20634920634920634,0.5873015873015873,0.007936507936507936,0.15873015873015872,0.5873015873015873,0.7936507936507937,0.9523809523809524,0.9841269841269842
mu6.wav,0.472,0.016,0.104,0.04,0.032,0.272,0.048,0.016,0.0,0.0,0.0,0.0,0.472,0.744,0.848,0.896
mu7.wav,0.04,0.368,0.072,0.0,0.176,0.016,0.032,0.072,0.104,0.096,0.024,0.0,0.368,0.544,0.648,0.744
mu8.wav,0.07936507936507936,0.05555555555555555,0.24603174603174602,0.007936507936507936,0.03968253968253968,0.047619047619047616,0.031746031746031744,0.015873015873015872,0.023809523809523808,0.40476190476190477,0.015873015873015872,0.031746031746031744,0.40476190476190477,0.6507936507936508,0.7301587301587302,0.7857142857142858
mu9.wav,0.09523809523809523,0.0,0.10317460317460317,0.0,0.0,0.10317460317460317,0.07142857142857142,0.2222222222222222,0.03968253968253968,0.1984126984126984,0.1111111111111111,0.05555555555555555,0.2222222222222222,0.4206349206349206,0.5317460317460316,0.6349206349206348
mu10.wav,0.0,0.10569105691056911,0.056910569105691054,0.08130081300813008,0.0,0.024390243902439025,0.032520325203252036,0.008130081300813009,0.5121951219512195,0.0,0.008130081300813009,0.17073170731707318,0.5121951219512195,0.6829268292682927,0.7886178861788619,0.8699186991869919
mu11.wav,0.2222222222222222,0.0,0.023809523809523808,0.21428571428571427,0.0,0.10317460317460317,0.0,0.3412698412698413,0.0,0.0,0.09523809523809523,0.0,0.3412698412698413,0.5634920634920635,0.7777777777777778,0.8809523809523809
mu12.wav,0.0,0.007936507936507936,0.023809523809523808,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.19047619047619047,0.0,0.35714285714285715,0.12698412698412698,0.031746031746031744,0.21428571428571427,0.35714285714285715,0.5714285714285714,0.7619047619047619,0.8888888888888888
mu13.wav,0.048,0.008,0.416,0.0,0.0,0.0,0.048,0.144,0.0,0.168,0.0,0.168,0.416,0.584,0.752,0.896
mu14.wav,0.0,0.008,0.016,0.128,0.016,0.048,0.336,0.008,0.168,0.248,0.016,0.008,0.336,0.5840000000000001,0.7520000000000001,0.8800000000000001
mu15.wav,0.047619047619047616,0.015873015873015872,0.23015873015873015,0.007936507936507936,0.0,0.0,0.05555555555555555,0.14285714285714285,0.015873015873015872,0.3412698412698413,0.023809523809523808,0.11904761904761904,0.3412698412698413,0.5714285714285714,0.7142857142857142,0.8333333333333333
mu16.wav,0.0,0.07936507936507936,0.0,0.1349206349206349,0.1111111111111111,0.0,0.2619047619047619,0.0,0.015873015873015872,0.015873015873015872,0.0,0.38095238095238093,0.38095238095238093,0.6428571428571428,0.7777777777777777,0.8888888888888888
mu17.wav,0.0,0.1984126984126984,0.015873015873015872,0.11904761904761904,0.1349206349206349,0.023809523809523808,0.03968253968253968,0.12698412698412698,0.24603174603174602,0.031746031746031744,0.05555555555555555,0.007936507936507936,0.24603174603174602,0.4444444444444444,0.5793650793650793,0.7063492063492063
mu18.wav,0.015873015873015872,0.10317460317460317,0.11904761904761904,0.023809523809523808,0.11904761904761904,0.07936507936507936,0.12698412698412698,0.0,0.0,0.015873015873015872,0.015873015873015872,0.38095238095238093,0.38095238095238093,0.5079365079365079,0.626984126984127,0.746031746031746
