,e:0-4,e:4-8,e:8-16,e:16-32,e:32-64,e:64-128,e:128-256,e:256-512,e:512-2048,e:std,e:var,e:max,e:mean,z:0.000-0.065,z:0.065-0.090,z:0.090-0.100,z:0.100-0.115,z:0.115-0.130,z:0.130-0.140,z:0.140-0.165,z:0.165-100.000,z:bimodal,z:std,z:var,sc:0-1200,sc:1200-1400,sc:1400-1600,sc:1600-1800,sc:1800-2000,sc:2000-3000,sc:3000-3500,sc:3500-8000,sc:bimodal,sc:mean,sc:std,c:0,c:1,c:2,c:3,c:4,c:5,c:6,c:7,c:8,c:9,c:10,c:11,c:tonemax,c:tonemax2,c:tonemax3,c:tonemax4
mu1.wav,0.0,0.103448275862069,0.3939393939393939,0.29032258064516125,1.0,0.24264705882352938,0.0,0.0,0.0,0.01622504741396763,0.0022366093347963856,0.024543280196658718,0.13288929290170243,0.07746478873239432,0.15873015873015878,0.0,0.0,0.11320754716981132,0.023255813953488372,0.23809523809523808,0.9763779527559056,0.6486247188098242,0.526490149769572,0.3196360523255076,0.0,0.0,0.0,0.0,0.0,0.2517482517482517,1.0,1.0,0.21900355427399062,0.1579524295176581,1.0,0.05044390637610975,0.048630563336445685,0.0,0.0,0.04255319148936171,0.05835667600373484,0.014377731769036117,0.046511627906976744,0.04648526077097506,0.9459459459459459,0.5945945945945945,0.33333333333333337,0.6220051603391081,0.7448471231806195,0.8378378378378379,0.8154849827671099
mu2.wav,0.06818181818181818,0.103448275862069,0.5757575757575757,0.4032258064516129,0.8461538461538463,0.20588235294117643,0.0,0.0,0.0,0.03232600352891021,0.004912245448729494,0.05048463500762135,0.11469000643923101,0.4084507042253521,0.4285714285714286,0.4399999999999999,0.4102564102564103,0.24528301886792456,0.2093023255813954,0.23809523809523808,0.14173228346456695,0.6468398248978887,0.2579833157134117,0.09914687356134783,0.03246753246753242,0.21311475409836067,0.543859649122807,0.4936708860759494,0.5510204081632654,0.30769230769230765,0.0847457627118644,0.02816901408450706,0.11970381557111512,0.24015532465989,0.4093212425843903,0.6949152542372882,0.00980392156862743,0.25,0.14933333333333335,0.5361702127659576,0.4411764705882352,0.13043478260869562,0.09376744186046512,0.0,0.0,0.3269189189189189,0.020999999999999908,0.2917434574272024,0.4338185015141156,0.48172972972972977,0.534711964549483
mu3.wav,0.0,0.0,0.03030303030303033,0.4032258064516129,0.6813186813186813,0.49264705882352944,0.05084745762711865,0.0,0.0,0.04769387575832276,0.007889878976315268,0.08188719966372532,0.17738901767399626,0.22535211267605637,1.0000000000000002,0.31999999999999995,0.38461538461538464,0.339622641509434,0.2093023255813954,0.23809523809523808,0.055118110236220486,0.34716270277433603,0.1052464919004436,0.0271096420348709,0.03246753246753242,0.5573770491803278,0.7719298245614036,0.45569620253164556,0.4081632653061225,0.18881118881118877,0.0,0.0,0.06733715229945336,0.08711173675487721,0.3141278933042813,0.0,1.0,0.0,0.37333333333333335,0.0,0.17647058823529413,0.014492753623188387,0.0,0.0,0.0,0.16345945945945944,0.0,1.0,1.0,0.9857297297297296,1.0
mu4.wav,0.0,0.0,0.0,0.06451612903225806,0.4945054945054945,0.7205882352941176,0.1864406779661017,0.0,0.0,0.0464806382019102,0.00763975580715269,0.09136454795826938,0.24493541889716944,0.07746478873239432,0.39682539682539686,0.8799999999999999,0.7435897435897436,0.49056603773584917,0.23255813953488377,0.738095238095238,0.06299212598425197,0.22602120549480614,0.08077958529946272,0.019167467085016265,0.0,0.11475409836065573,0.6666666666666666,0.7468354430379747,0.8775510204081634,0.13286713286713284,0.0,0.0,0.0,0.004501688614775623,0.34626430316039275,0.0,0.27450980392156865,0.0,0.0,0.0,0.05882352941176472,1.0,0.0,0.3123809523809524,0.0,0.16345945945945944,0.0,0.6168448212311095,0.8153755983198204,0.9721081081081081,0.9844903988183162
mu5.wav,0.011363636363636381,0.03448275862068961,0.21212121212121213,0.3387096774193548,0.4505494505494505,0.44852941176470584,0.44067796610169496,0.0,0.0,0.14087540631662113,0.03480876364847024,0.1596435972679256,0.24339662587955396,0.20422535211267606,0.6349206349206349,1.0,0.5641025641025641,0.24528301886792456,0.16279069767441864,0.2857142857142857,0.11023622047244094,0.4714786628129515,0.14594214863588362,0.04252015978034018,0.07142857142857142,0.24590163934426232,0.7543859649122807,0.31645569620253167,0.653061224489796,0.2797202797202797,0.0,0.0,0.11091679251772424,0.16600583832995547,0.35292467090046487,0.0,0.0,0.0,0.0,0.0851063829787234,0.02917833800186742,0.0,0.0,0.40287226001511717,0.9999999999999999,0.02702702702702703,0.41666666666666674,0.6680796166605234,0.8425319917944714,1.0,0.9847365829640572
mu6.wav,0.0,0.03448275862068961,0.03030303030303033,0.16129032258064516,0.6703296703296703,0.6176470588235293,0.01694915254237289,0.0,0.0,0.03538926513580781,0.005472741620515628,0.08190600281669899,0.20316109661367648,0.8098591549295775,0.39682539682539686,0.11999999999999997,0.10256410256410256,0.09433962264150944,0.06976744186046514,0.0952380952380952,0.023622047244094502,0.3141491573297702,0.12097289007354056,0.03273904908977354,0.30519480519480524,0.3606557377049181,0.2280701754385965,0.26582278481012656,0.489795918367347,0.2727272727272727,0.0,0.0,0.19497104439483656,0.27130154956105884,0.2860871578782957,1.0,0.019607843137254888,0.25,0.18666666666666668,0.0857872340425532,1.0,0.08695652173913043,0.046883720930232575,0.0,0.0,0.0,0.0,0.5007371913011427,0.7661424245384392,0.8222702702702702,0.8138847858197933
mu7.wav,0.0,0.3103448275862069,0.6666666666666667,0.5,0.6043956043956044,0.2794117647058823,0.05084745762711865,0.0,0.0,0.06488458071751119,0.011711207752477124,0.08161795118915259,0.132262869493873,0.007042253521126807,0.06349206349206354,0.19999999999999996,1.0,0.6603773584905662,1.0,0.5476190476190477,0.09448818897637798,0.008113665693351257,0.05275562789435423,0.011291198829190413,0.0,0.21311475409836067,1.0,0.6835443037974682,0.4693877551020409,0.1258741258741259,0.01694915254237289,0.0,0.0,0.09106930090321985,0.3330296476536747,0.0847457627118644,0.4509803921568627,0.17307692307692307,0.0,0.47182978723404256,0.05882352941176472,0.05797101449275362,0.21097674418604648,0.20304761904761906,0.16345945945945944,0.08172972972972975,0.0,0.3497972723921858,0.45843508840480623,0.48172972972972977,0.5192023633677991
mu8.wav,0.0,0.0,0.06060606060606061,0.4354838709677419,0.6923076923076923,0.463235294117647,0.05084745762711865,0.0,0.0,0.05987237607714205,0.010543548131966757,0.0732701850582955,0.1833901355338131,0.007042253521126807,0.0,0.040000000000000036,0.15384615384615388,0.18867924528301888,0.11627906976744189,0.5476190476190477,0.9133858267716537,0.15826288853294873,0.26249240612954755,0.10186187324042817,0.0,0.0,0.01754385964912286,0.0,0.08163265306122452,0.9999999999999999,0.30508474576271183,0.0,0.0,0.10746535969491633,0.6920042721234732,0.16814635458703253,0.06808278867102396,0.5914224664224663,0.037037037037037035,0.10638297872340426,0.17507002801120447,0.057510927076144455,0.046511627906976744,0.04648526077097506,0.689189189189189,0.054054054054054085,0.08333333333333331,0.4031514928123848,0.6227410374133049,0.6216216216216217,0.6000738552437225
mu9.wav,0.0,0.0,0.03030303030303033,0.016129032258064502,0.1318681318681319,0.7132352941176471,0.7966101694915255,0.0,0.0,0.10948021394000285,0.024039139737095996,0.15107271685807688,0.37183358351132595,0.34507042253521125,0.6666666666666667,0.39999999999999997,0.5384615384615385,0.339622641509434,0.11627906976744189,0.2619047619047619,0.047244094488189003,0.3704264060630841,0.11222249004156973,0.029556113964280095,0.0,0.04918032786885246,0.24561403508771928,0.22784810126582278,0.6326530612244898,0.6993006993006992,0.0,0.0,0.0,0.07532208181192768,0.46952131368729944,0.20177562550443906,0.0,0.248015873015873,0.0,0.0,0.37931839402427636,0.12939958592132503,0.6511627906976742,0.07747543461829176,0.3378378378378378,0.3783783783783783,0.14583333333333331,0.13822336896424622,0.2686333886880922,0.28378378378378366,0.3077301821762676
mu10.wav,0.07954545454545453,0.03448275862068961,0.0,0.11290322580645162,0.6373626373626373,0.625,0.0,0.0,0.0,0.03445288441077435,0.005299663264605375,0.04411408641585923,0.18953557141115046,0.06338028169014087,0.0,0.040000000000000036,0.8205128205128207,1.0,0.4418604651162792,0.9523809523809523,0.06299212598425197,0.19875661501279773,0.10112896736513152,0.025703533435901232,0.04545454545454547,0.0,0.2982456140350877,1.0,0.9795918367346941,0.10489510489510492,0.0,0.0,0.08550210171866418,0.12170618101573205,0.336275139783737,0.0,0.12952335405707,0.13680425265791119,0.3794037940379404,0.0,0.0896700143472023,0.058913632614587014,0.023823028927963702,1.0000000000000002,0.0,0.027686222808174066,0.44817073170731714,0.5590741956074188,0.6721791111629981,0.7211601845748188,0.7633209640811328
